0.007,0.0029,0.00349,0.003559
0.002,0.004,0.00369,0.003675
0.004,0.003,0.00381,0.003851
0.006,0.0046,0.00419,0.003883
0.005,0.0052,0.00414,0.00431
0.004,0.005,0.00439,0.004575
0.005,0.0043,0.00499,0.004612
0.004,0.0058,0.00472,0.004689
0.013,0.0048,0.00463,0.004701
0.004,0.0049,0.00501,0.004811
0.004,0.0043,0.00478,0.00491
0.007,0.0061,0.00506,0.004988
0.003,0.0054,0.00494,0.004991
0.006,0.0055,0.00504,0.005161
0.006,0.0063,0.00513,0.005189
0.007,0.0056,0.005,0.005319
0.005,0.0054,0.00537,0.005353
0.004,0.0059,0.00547,0.00547
0.007,0.0059,0.0055,0.00556
0.007,0.0066,0.00627,0.005603
0.004,0.0056,0.0057,0.00575
0.003,0.0064,0.00582,0.005815
0.012,0.0054,0.00594,0.005864
0.003,0.0051,0.00558,0.005874
0.004,0.0059,0.00603,0.006026
0.008,0.0062,0.00575,0.006026
0.007,0.0052,0.00563,0.006035
0.007,0.0059,0.00621,0.006074
0.006,0.0059,0.00606,0.006108
0.006,0.0065,0.00613,0.006111
0.007,0.0057,0.00617,0.006159
0.008,0.0074,0.00593,0.006182
0.013,0.0047,0.00614,0.006222
0.009,0.0079,0.00614,0.006428
0.006,0.0064,0.00659,0.006482
0.002,0.0068,0.00603,0.006484
0.004,0.0062,0.00612,0.00656
0.008,0.0072,0.00646,0.006584
0.006,0.0072,0.00652,0.006783
0.006,0.0063,0.00745,0.007007
0.011,0.0063,0.00765,0.007019
0.006,0.0068,0.00712,0.00705
0.009,0.0077,0.00701,0.007099
0.008,0.0068,0.00703,0.007164
0.007,0.0071,0.00709,0.007298
0.01,0.0073,0.00716,0.007316
0.006,0.0061,0.00776,0.007359
0.005,0.0067,0.00734,0.007376
0.01,0.0076,0.00719,0.007482
0.01,0.0066,0.00746,0.007541
0.01,0.0076,0.00748,0.00755
0.006,0.0069,0.00767,0.007644
0.012,0.0075,0.00771,0.007687
0.007,0.0066,0.00723,0.007717
0.01,0.0085,0.00801,0.007913
0.009,0.0094,0.00816,0.00794
0.007,0.0093,0.00847,0.008396
0.005,0.008,0.00813,0.008491
0.001,0.0078,0.00891,0.008531
0.008,0.0081,0.00803,0.008542
0.01,0.0096,0.00897,0.008579
0.011,0.0081,0.00899,0.008619
0.009,0.0089,0.00882,0.008627
0.012,0.0084,0.00827,0.008637
0.008,0.0095,0.009,0.008903
0.011,0.008,0.00957,0.00894
0.011,0.0101,0.00966,0.008989
0.012,0.0099,0.00874,0.009021
0.01,0.0075,0.00938,0.009073
0.007,0.0083,0.00904,0.009188
0.009,0.0095,0.00956,0.00919
0.012,0.0103,0.00939,0.009236
0.011,0.0086,0.00897,0.00935
0.005,0.0104,0.00941,0.009414
0.01,0.0098,0.01004,0.009584
0.005,0.009,0.01038,0.009722
0.012,0.0117,0.00975,0.009823
0.013,0.0113,0.01005,0.009861
0.014,0.0092,0.00984,0.010004
0.009,0.0093,0.01014,0.010185
0.021,0.0169,0.01951,0.018442
0.024,0.0182,0.01899,0.018835
0.017,0.0222,0.01927,0.019442
0.019,0.0187,0.01912,0.019688
0.017,0.0203,0.01993,0.019896
0.022,0.0212,0.01976,0.020156
0.02,0.0199,0.02034,0.020818
0.018,0.0224,0.02143,0.021734
0.015,0.0201,0.02097,0.021877
0.017,0.0218,0.02241,0.022314
0.026,0.0217,0.02282,0.022381
0.03,0.0228,0.02359,0.023161
0.018,0.0245,0.02299,0.023186
0.018,0.024,0.02319,0.023535
0.017,0.0225,0.02327,0.023559
0.018,0.0259,0.02343,0.024152
0.021,0.0237,0.0246,0.024264
0.023,0.0261,0.02488,0.024599
0.016,0.0224,0.02514,0.02487
0.026,0.0232,0.02576,0.025247
